edge_id,average_traveltime,green_time,freeflow_travel_time
01_0,135.33333333333334,20,99.28
10_0,135.624,20,99.28
12_0,132.41767068273091,20,99.28
13_0,117.7639751552795,20,99.28
14_0,119.72839506172839,20,99.28
21_0,138.224,20,99.28
31_0,670.888,20,99.28
41_0,671.312,20,99.28
01_0,122.4136546184739,20,90.25454545454545
10_0,122.772,20,90.25454545454545
12_0,119.68273092369478,20,90.25454545454545
13_0,106.10909090909091,20,90.25454545454545
14_0,109.69090909090909,20,90.25454545454545
21_0,123.588,20,90.25454545454545
31_0,664.516,20,90.25454545454545
41_0,663.54,20,90.25454545454545
01_0,109.33734939759036,20,82.73333333333333
10_0,110.54,20,82.73333333333333
12_0,108.45381526104417,20,82.73333333333333
13_0,98.23728813559322,20,82.73333333333333
14_0,100.48255813953489,20,82.73333333333333
21_0,111.064,20,82.73333333333333
31_0,650.812,20,82.73333333333333
41_0,627.716,20,82.73333333333333
01_0,100.52208835341365,20,76.36923076923077
10_0,102.948,20,76.36923076923077
12_0,99.1004016064257,20,76.36923076923077
13_0,90.35911602209944,20,76.36923076923077
14_0,92.04918032786885,20,76.36923076923077
21_0,102.896,20,76.36923076923077
31_0,620.044,20,76.36923076923077
41_0,617.796,20,76.36923076923077
01_0,94.65461847389558,20,70.91428571428571
10_0,91.1,20,70.91428571428571
12_0,91.12449799196787,20,70.91428571428571
13_0,84.06914893617021,20,70.91428571428571
14_0,84.20967741935483,20,70.91428571428571
21_0,97.156,20,70.91428571428571
31_0,610.284,20,70.91428571428571
41_0,598.528,20,70.91428571428571
01_0,88.52208835341365,20,66.18666666666667
10_0,84.648,20,66.18666666666667
12_0,84.18473895582329,20,66.18666666666667
13_0,78.921875,20,66.18666666666667
14_0,78.11702127659575,20,66.18666666666667
21_0,90.548,20,66.18666666666667
31_0,603.68,20,66.18666666666667
41_0,586.072,20,66.18666666666667
01_0,82.93172690763052,20,62.05
10_0,78.732,20,62.05
12_0,77.87550200803213,20,62.05
13_0,74.5625,20,62.05
14_0,73.16931216931216,20,62.05
21_0,83.976,20,62.05
31_0,603.484,20,62.05
41_0,586.8,20,62.05
01_0,78.47791164658635,20,58.4
10_0,72.76,20,58.4
12_0,73.44578313253012,20,58.4
13_0,69.00523560209425,20,58.4
14_0,69.57512953367876,20,58.4
21_0,78.388,20,58.4
