edge_id,average_traveltime
12,33.9375
21,11.95875
23,60.3625
26,11.381428571428572
29,10.92
32,11.9075
34,11.44125
37,11.231428571428571
43,74.82249999999999
45,10.19
48,11.822857142857144
54,35.52375
62,34.462857142857146
73,19.91857142857143
84,30.07571428571428
92,35.720000000000006
103,19.73428571428571
114,31.435714285714287
310,10.53857142857143
411,10.407142857142857
